,file_names,weights,days,cow_ids,time_of_day
0,1.mp4,1879.81005859375,1,5327,PM
1,2.mp4,1879.81005859375,1,5327,PM
2,3.mp4,1879.81005859375,1,5327,PM
3,4.mp4,1879.81005859375,1,5327,PM
4,5.mp4,1879.81005859375,1,5327,PM
5,6.mp4,1879.81005859375,1,5327,PM
6,7.mp4,1879.81005859375,1,5327,PM
7,8.mp4,2244.31005859375,1,5508,AM
8,9.mp4,2244.31005859375,1,5508,AM
9,10.mp4,2244.31005859375,1,5508,AM
10,11.mp4,2244.31005859375,1,5508,AM
11,12.mp4,2244.31005859375,1,5508,AM
12,13.mp4,1929.0400390625,1,5327,AM
13,14.mp4,1929.0400390625,1,5327,AM
14,15.mp4,1929.0400390625,1,5327,AM
15,16.mp4,1929.0400390625,1,5327,AM
16,17.mp4,1929.0400390625,1,5327,AM
17,18.mp4,1929.0400390625,1,5327,AM
18,19.mp4,1406.550048828125,1,5687,AM
19,20.mp4,1406.550048828125,1,5687,AM
20,21.mp4,1406.550048828125,1,5687,AM
21,22.mp4,1406.550048828125,1,5687,AM
22,23.mp4,1406.550048828125,1,5687,AM
23,24.mp4,1296.3199462890625,1,5724,AM
24,25.mp4,1296.3199462890625,1,5724,AM
25,26.mp4,1296.3199462890625,1,5724,AM
26,27.mp4,1296.3199462890625,1,5724,AM
27,28.mp4,1296.3199462890625,1,5724,AM
28,29.mp4,1296.3199462890625,1,5724,AM
29,30.mp4,1362.4599609375,1,5687,PM
30,31.mp4,1362.4599609375,1,5687,PM
31,32.mp4,1362.4599609375,1,5687,PM
32,33.mp4,1362.4599609375,1,5687,PM
33,34.mp4,1362.4599609375,1,5687,PM
34,35.mp4,1300.72998046875,1,5724,PM
35,36.mp4,1300.72998046875,1,5724,PM
36,37.mp4,1300.72998046875,1,5724,PM
37,38.mp4,1300.72998046875,1,5724,PM
38,39.mp4,2052.5,1,5488,AM
39,40.mp4,2052.5,1,5488,AM
40,41.mp4,2052.5,1,5488,AM
41,42.mp4,2052.5,1,5488,AM
42,43.mp4,2052.5,1,5488,AM
43,44.mp4,2052.5,1,5488,AM
44,45.mp4,1280.8900146484375,1,5588,AM
45,46.mp4,1280.8900146484375,1,5588,AM
